"","WoSitnu","WoOppnu","WoLastnu","WoGemstu","Reistijd","Tevreden","Toelicht","Verhuisplan","VMsituatie","VMprijs","VMcampus","VMcentrum","VMhuisgenot","VMverplicht","VMander","WoOppwens","WoLastwens","Omgeveilig","Omgegroen","Omgebalkon","Omgeparking","OmgeOV","OmgeCentr","OmgeHAN","Woonbeeld1","Woonbeeld2","Woonbeeld3","Woonbeeld4","Woonbeeld5","Geslacht","Gebjaar","Inkomen","Opleiding","Opmerkingen","filter_."
"205","Bij ouders",20,NA,"nee","21-40 min.",7,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar","wel","0","wel","0","wel","0","0",20,350,"belangrijk","onbelangrijk","belangrijk","onbelangrijk","zeer belangrijk","belangrijk","neutraal","past wel","past niet","past niet","past enigszins","past volledig","man",1996,300,"Human Resource Management","nee                                                                                                                                                                                                                                                       ","Selected"
"206","Bij ouders",20,NA,"nee","21-40 min.",8,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar","wel","0","wel","0","0","0","wel",12,350,"neutraal","neutraal","neutraal","onbelangrijk","belangrijk","neutraal","neutraal","past enigszins","past wel","past niet","past wel","past enigszins","man",1995,400,"Logistiek","                                                                                                                                                                                                                                                          ","Selected"
"207","Bij ouders",20,NA,"nee","21-40 min.",7,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar","wel","0","wel","wel","wel","0","0",12,350,"neutraal","onbelangrijk","belangrijk","zeer onbelangrijk","neutraal","belangrijk","neutraal","past wel","past wel","past niet","past niet","past volledig","man",1997,450,"Logistiek","                                                                                                                                                                                                                                                          ","Selected"
"208","Bij ouders",20,NA,"ja","10-20 min.",9,"heb niks te klagen                                                                                                                                                                                                                                        ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,20,300,"zeer belangrijk","neutraal","belangrijk","zeer belangrijk","neutraal","belangrijk","belangrijk","past wel","past niet","past wel","past enigszins","past niet","man",1997,580,"Facility Management","nee                                                                                                                                                                                                                                                       ","Selected"
"209","Bij ouders",20,NA,"nee","langer dan 90 min.",6,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar","wel","0","wel","wel","wel","0","0",15,350,"belangrijk","neutraal","neutraal","onbelangrijk","belangrijk","belangrijk","neutraal","past wel","past niet","past enigszins","past helemaal niet","past volledig","man",1995,650,"Facility Management","-                                                                                                                                                                                                                                                         ","Selected"
"210","Bij ouders",20,NA,"ja","minder dan 10 min.",9,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,25,450,"zeer belangrijk","neutraal","belangrijk","onbelangrijk","belangrijk","belangrijk","neutraal","past wel","past wel","past enigszins","past niet","past enigszins","man",1997,700,"Facility Management","                                                                                                                                                                                                                                                          ","Selected"
"211","Bij ouders",20,NA,"nee","10-20 min.",9,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar","0","0","0","wel","wel","0","0",20,400,"zeer belangrijk","neutraal","neutraal","onbelangrijk","zeer belangrijk","zeer belangrijk","onbelangrijk","past niet","past wel","past niet","past helemaal niet","past wel","man",1995,800,"Facility Management","                                                                                                                                                                                                                                                          ","Selected"
"212","Bij ouders",20,NA,"nee","21-40 min.",9,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,25,300,"belangrijk","belangrijk","belangrijk","belangrijk","belangrijk","neutraal","neutraal","past wel","past enigszins","past wel","past enigszins","past enigszins","man",1997,1250,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected"
"213","Bij ouders",21,NA,"nee","61-90 min.",8,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar","0","0","wel","0","wel","0","0",14,350,"zeer belangrijk","neutraal","neutraal","onbelangrijk","zeer belangrijk","belangrijk","belangrijk","past enigszins","past niet","past volledig","past niet","past wel","man",1995,400,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected"
"214","Bij ouders",21,NA,"nee","21-40 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,22,400,"belangrijk","neutraal","belangrijk","belangrijk","belangrijk","belangrijk","belangrijk","past enigszins","past niet","past wel","past helemaal niet","past wel","man",1994,600,"Facility Management","nee                                                                                                                                                                                                                                                       ","Selected"
"215","Bij ouders",24,NA,"nee","21-40 min.",8,"Ik zit prima thuis, alles is nog gratis en het is lekker kortbij. Heb ook alle vrijheid thuis                                                                                                                                                             ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,30,400,"neutraal","onbelangrijk","neutraal","belangrijk","belangrijk","belangrijk","onbelangrijk","past niet","past enigszins","past wel","past enigszins","past niet","man",1998,300,"Logistiek","nein                                                                                                                                                                                                                                                      ","Selected"
"216","Bij ouders",24,NA,"ja","minder dan 10 min.",10,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,10,300,"belangrijk","neutraal","belangrijk","belangrijk","belangrijk","zeer belangrijk","zeer belangrijk","past helemaal niet","past helemaal niet","past helemaal niet","past helemaal niet","past helemaal niet","man",1997,500,"Facility Management","                                                                                                                                                                                                                                                          ","Selected"
"217","Bij ouders",24,NA,"nee","41-60 min.",9,"Alles wordt geregeld                                                                                                                                                                                                                                      ","weet ik  (nog)  niet",NA,NA,NA,NA,NA,NA,NA,18,400,"neutraal","onbelangrijk","belangrijk","zeer onbelangrijk","zeer belangrijk","belangrijk","belangrijk","past enigszins","past niet","past enigszins","past enigszins","past wel","man",1997,650,"Facility Management","                                                                                                                                                                                                                                                          ","Selected"
"218","Bij ouders",25,NA,"nee","langer dan 90 min.",9,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar","0","0","wel","wel","wel","0","0",30,550,"belangrijk","zeer belangrijk","belangrijk","zeer belangrijk","belangrijk","belangrijk","belangrijk","past helemaal niet","past niet","past enigszins","past helemaal niet","past niet","man",1996,51,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected"
"219","Bij ouders",25,NA,"nee","21-40 min.",10,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,20,300,"belangrijk","neutraal","neutraal","neutraal","belangrijk","belangrijk","neutraal","past enigszins","past enigszins","past wel","past niet","past wel","man",1996,150,"Bedrijfskunde /MER","nee                                                                                                                                                                                                                                                       ","Selected"
"220","Bij ouders",25,NA,"nee","21-40 min.",7,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar","wel","0","0","wel","0","0","wel",NA,NA,"neutraal","neutraal","belangrijk","neutraal","belangrijk","neutraal","onbelangrijk","past enigszins","past enigszins","past enigszins","past enigszins","past enigszins","man",1998,250,"Bedrijfskunde /MER","                                                                                                                                                                                                                                                          ",NA
"221","Bij ouders",25,NA,"nee","21-40 min.",10,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,25,400,"zeer belangrijk","belangrijk","onbelangrijk","onbelangrijk","belangrijk","belangrijk","belangrijk","past wel","past volledig","past helemaal niet","past niet","past volledig","man",1998,250,"Logistiek","                                                                                                                                                                                                                                                          ","Selected"
"222","Bij ouders",25,NA,"nee","61-90 min.",8,"Zeer fijne omstandigheden, soms te luidruchtig                                                                                                                                                                                                            ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,20,400,"belangrijk","belangrijk","belangrijk","onbelangrijk","neutraal","belangrijk","neutraal","past wel","past niet","past wel","past enigszins","past wel","man",1998,250,"Human Resource Management","Nee                                                                                                                                                                                                                                                       ","Selected"
"223","Bij ouders",25,NA,"ja","minder dan 10 min.",10,"Ik ben thuis van alles voorzien, dus heb niks te klagen.                                                                                                                                                                                                  ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,20,500,"zeer belangrijk","belangrijk","zeer belangrijk","zeer onbelangrijk","onbelangrijk","onbelangrijk","onbelangrijk","past wel","past enigszins","past wel","past enigszins","past enigszins","man",1998,580,"Facility Management","nee                                                                                                                                                                                                                                                       ","Selected"
"224","Bij ouders",25,NA,"nee","21-40 min.",9,"Thuis bij je ouders zonder extra kosten is altijd prettig.                                                                                                                                                                                                ","weet ik  (nog)  niet",NA,NA,NA,NA,NA,NA,NA,20,399,"belangrijk","neutraal","neutraal","belangrijk","zeer belangrijk","zeer belangrijk","belangrijk","past wel","past niet","past wel","past enigszins","past enigszins","man",1996,750,"Human Resource Management","Een goede eenvoudige enquete, zeer gemakkelijk in te vullen.                                                                                                                                                                                              ","Selected"
"225","Bij ouders",25,NA,"nee","21-40 min.",7,"Ik zou liever niet meer thuis wonen                                                                                                                                                                                                                       ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,20,400,"zeer belangrijk","neutraal","belangrijk","zeer belangrijk","belangrijk","neutraal","neutraal","past niet","past helemaal niet","past wel","past helemaal niet","past niet","man",1993,1000,"Facility Management","Lekker kort. Niet te moeilijk                                                                                                                                                                                                                             ","Selected"
"226","Bij ouders",25,NA,"nee","21-40 min.",9,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,NA,NA,NA,NA,NA,20,350,"belangrijk","neutraal","neutraal","belangrijk","belangrijk","neutraal","neutraal","past wel","past niet","past niet","past helemaal niet","past enigszins","man",1993,1200,"Facility Management","Duidelijk en goed geformuleerde vragen!                                                                                                                                                                                                                   ","Selected"
"227","Bij ouders",25,100,"nee","langer dan 90 min.",8,"woon er bijna gratis                                                                                                                                                                                                                                      ","ja, over een  half jaar tot een jaar","wel","0","wel","wel","wel","0","0",20,400,"neutraal","onbelangrijk","neutraal","neutraal","belangrijk","belangrijk","neutraal","past wel","past enigszins","past niet","past helemaal niet","past enigszins","man",1990,850,"Logistiek","                                                                                                                                                                                                                                                          ","Selected"
"228","Bij ouders",26,NA,"ja","21-40 min.",7,"Mooi ruim huis, alleen de wijk is vrij saai                                                                                                                                                                                                               ","ja, over een  half jaar tot een jaar","wel","0","0","0","0","0","0",12,450,"neutraal","zeer onbelangrijk","zeer onbelangrijk","onbelangrijk","zeer belangrijk","belangrijk","neutraal","past volledig","past niet","past wel","past wel","past niet","man",1996,752,"Bedrijfskunde /MER","                                                                                                                                                                                                                                                          ","Selected"
"229","Bij ouders",30,NA,"nee","61-90 min.",9,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar","wel","0","wel","0","0","0","wel",40,40,"belangrijk","neutraal","neutraal","belangrijk","belangrijk","belangrijk","neutraal","past wel","past wel","past niet","past enigszins","past wel","man",1996,160,"Bedrijfskunde /MER","                                                                                                                                                                                                                                                          ","Selected"
