"","WoSitnu","WoOppnu","WoGemstu","Reistijd","Tevreden","Toelicht","Verhuisplan","WoOppwens","WoLastwens","Omgeveilig","Omgegroen","Omgebalkon","Omgeparking","OmgeOV","OmgeCentr","OmgeHAN","Woonbeeld1","Woonbeeld2","Woonbeeld3","Woonbeeld4","Woonbeeld5","Geslacht","Gebjaar","Inkomen","Opleiding","Opmerkingen","filter_.","Leeftijd"
"208","Bij ouders",20,"nee","langer dan 90 min.",6,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar",15,350,"belangrijk","neutraal","neutraal","onbelangrijk","belangrijk","belangrijk","neutraal","past wel","past niet","past enigszins","past helemaal niet","past volledig","man",1995,650,"Facility Management","-                                                                                                                                                                                                                                                         ","Selected",22
"209","Bij ouders",20,"ja","minder dan 10 min.",9,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",25,450,"zeer belangrijk","neutraal","belangrijk","onbelangrijk","belangrijk","belangrijk","neutraal","past wel","past wel","past enigszins","past niet","past enigszins","man",1997,700,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",20
"210","Bij ouders",20,"nee","10-20 min.",9,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar",20,400,"zeer belangrijk","neutraal","neutraal","onbelangrijk","zeer belangrijk","zeer belangrijk","onbelangrijk","past niet","past wel","past niet","past helemaal niet","past wel","man",1995,800,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",22
"211","Bij ouders",20,"nee","21-40 min.",9,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",25,300,"belangrijk","belangrijk","belangrijk","belangrijk","belangrijk","neutraal","neutraal","past wel","past enigszins","past wel","past enigszins","past enigszins","man",1997,1250,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected",20
"212","Bij ouders",21,"nee","61-90 min.",8,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar",14,350,"zeer belangrijk","neutraal","neutraal","onbelangrijk","zeer belangrijk","belangrijk","belangrijk","past enigszins","past niet","past volledig","past niet","past wel","man",1995,400,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected",22
"213","Bij ouders",21,"nee","21-40 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",22,400,"belangrijk","neutraal","belangrijk","belangrijk","belangrijk","belangrijk","belangrijk","past enigszins","past niet","past wel","past helemaal niet","past wel","man",1994,600,"Facility Management","nee                                                                                                                                                                                                                                                       ","Selected",23
"214","Bij ouders",24,"nee","21-40 min.",8,"Ik zit prima thuis, alles is nog gratis en het is lekker kortbij. Heb ook alle vrijheid thuis                                                                                                                                                             ","nee, voorlopig niet van pan",30,400,"neutraal","onbelangrijk","neutraal","belangrijk","belangrijk","belangrijk","onbelangrijk","past niet","past enigszins","past wel","past enigszins","past niet","man",1998,300,"Logistiek","nein                                                                                                                                                                                                                                                      ","Selected",19
"215","Bij ouders",24,"ja","minder dan 10 min.",10,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",10,300,"belangrijk","neutraal","belangrijk","belangrijk","belangrijk","zeer belangrijk","zeer belangrijk","past helemaal niet","past helemaal niet","past helemaal niet","past helemaal niet","past helemaal niet","man",1997,500,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",20
"216","Bij ouders",24,"nee","41-60 min.",9,"Alles wordt geregeld                                                                                                                                                                                                                                      ","weet ik  (nog)  niet",18,400,"neutraal","onbelangrijk","belangrijk","zeer onbelangrijk","zeer belangrijk","belangrijk","belangrijk","past enigszins","past niet","past enigszins","past enigszins","past wel","man",1997,650,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",20
"217","Bij ouders",25,"nee","langer dan 90 min.",9,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar",30,550,"belangrijk","zeer belangrijk","belangrijk","zeer belangrijk","belangrijk","belangrijk","belangrijk","past helemaal niet","past niet","past enigszins","past helemaal niet","past niet","man",1996,51,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected",21
