"","WoSitnu","WoOppnu","WoGemstu","Reistijd","Tevreden","Toelicht","Verhuisplan","WoOppwens","WoLastwens","Omgeveilig","Omgegroen","Omgebalkon","Omgeparking","OmgeOV","OmgeCentr","OmgeHAN","Woonbeeld1","Woonbeeld2","Woonbeeld3","Woonbeeld4","Woonbeeld5","Geslacht","Gebjaar","Inkomen","Opleiding","Opmerkingen","filter_.","Leeftijd"
"66","Bij ouders",20,"nee","21-40 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,NA,"belangrijk","neutraal","neutraal","onbelangrijk","neutraal","neutraal","onbelangrijk","past niet","past enigszins","past enigszins",NA,NA,"vrouw",1998,200,"Facility Management","                                                                                                                                                                                                                                                          ",NA,19
"67","Bij ouders",20,"nee","41-60 min.",8,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",16,500,"belangrijk","onbelangrijk","neutraal","neutraal","belangrijk","neutraal","onbelangrijk","past wel","past enigszins","past wel","past wel","past niet","vrouw",1996,200,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",21
"68","Bij ouders",20,"nee","21-40 min.",9,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,350,"belangrijk","onbelangrijk","neutraal","neutraal","neutraal","belangrijk","neutraal","past enigszins","past enigszins","past niet","past helemaal niet","past wel","vrouw",1994,250,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",23
"69","Bij ouders",20,"nee","langer dan 90 min.",8,"Ik ben afgelopen maand van kamers terug naar huis verhuisd, dit bevalt mij tot nu toe goed                                                                                                                                                                ","nee, voorlopig niet van pan",17,350,"neutraal","neutraal","belangrijk","zeer onbelangrijk","zeer belangrijk","neutraal","belangrijk","past volledig","past volledig","past enigszins","past niet","past wel","vrouw",1996,300,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",21
"70","Bij ouders",20,"nee","41-60 min.",10,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",25,500,"belangrijk","neutraal","belangrijk","belangrijk","belangrijk","belangrijk","belangrijk","past enigszins","past niet","past enigszins","past niet","past helemaal niet","vrouw",1997,300,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",20
"71","Bij ouders",20,"nee","61-90 min.",9,"Ik woon prima bij me ouders                                                                                                                                                                                                                               ","ja, over een  half jaar tot een jaar",50,600,"neutraal","zeer belangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","onbelangrijk","past wel","past helemaal niet","past volledig","past volledig","past helemaal niet","vrouw",1995,350,"Facility Management","nee                                                                                                                                                                                                                                                       ","Selected",22
"72","Bij ouders",20,"nee","61-90 min.",6,"Het is een leuk dorp, maar veel te ver van echte voorzieningen af, zoals een stad.                                                                                                                                                                        ","weet ik  (nog)  niet",20,400,"neutraal","neutraal","belangrijk","onbelangrijk","zeer belangrijk","belangrijk","neutraal","past wel","past enigszins","past niet","past niet","past enigszins","vrouw",1998,500,"Bedrijfskunde /MER","nee                                                                                                                                                                                                                                                       ","Selected",19
"73","Bij ouders",20,"nee","41-60 min.",8,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar",12,350,"neutraal","onbelangrijk","neutraal","onbelangrijk","belangrijk","zeer belangrijk","belangrijk","past enigszins","past volledig","past wel","past enigszins","past wel","vrouw",1995,600,"Logistiek","nee                                                                                                                                                                                                                                                       ","Selected",22
"74","Bij ouders",20,"nee","21-40 min.",7,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",20,400,"belangrijk","neutraal","zeer belangrijk","belangrijk","belangrijk","belangrijk","neutraal","past enigszins","past enigszins","past wel","past niet","past wel","vrouw",1995,600,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",22
"75","Bij ouders",20,"nee","41-60 min.",9,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar",16,350,"belangrijk","neutraal","onbelangrijk","onbelangrijk","belangrijk","neutraal","neutraal","past volledig","past wel","past niet","past helemaal niet","past wel","vrouw",1997,638,"Logistiek","nee                                                                                                                                                                                                                                                       ","Selected",20
"76","Bij ouders",20,"nee","10-20 min.",10,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",20,500,"zeer belangrijk","neutraal","belangrijk","neutraal","zeer belangrijk","belangrijk","onbelangrijk","past wel","past niet","past volledig","past enigszins","past niet","vrouw",1998,640,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected",19
"77","Bij ouders",20,"ja","21-40 min.",10,"Er is niks beters dan thuis wonen                                                                                                                                                                                                                         ","nee, voorlopig niet van pan",20,350,"zeer belangrijk","zeer onbelangrijk","neutraal","belangrijk","belangrijk","onbelangrijk","onbelangrijk","past enigszins","past helemaal niet","past wel","past niet","past niet","vrouw",1994,800,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected",23
"78","Bij ouders",20,"nee","61-90 min.",10,"Ik heb thuis niks te klagen. Alles wordt voor me gedaan.                                                                                                                                                                                                  ","nee, voorlopig niet van pan",16,400,"belangrijk","neutraal","neutraal","neutraal","belangrijk","belangrijk","neutraal","past wel","past enigszins","past niet","past niet","past volledig","vrouw",1998,800,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",19
"79","Bij ouders",20,"nee","21-40 min.",10,"Niks is fijner dan gezellig thuis komen bij je familie.                                                                                                                                                                                                   ","nee, voorlopig niet van pan",20,600,"zeer belangrijk","onbelangrijk","neutraal","belangrijk","belangrijk","belangrijk","neutraal","past niet","past niet","past wel","past niet","past niet","vrouw",1992,1000,"Facility Management","Ik heb mij niet verdiept in mijn eigen hoeveelheid m2 waar ik woon of waar ik naartoe wil. Dus alles is op de gok omdat je persé iets in moest vullen.                                                                                                   ","Selected",25
"80","Bij ouders",20,"nee","61-90 min.",8,"ik hoef nergens voor te betalen, en woon in een fijne buurt                                                                                                                                                                                               ","weet ik  (nog)  niet",20,250,"belangrijk","belangrijk","neutraal","neutraal","belangrijk","neutraal","neutraal","past wel","past enigszins","past enigszins","past niet","past enigszins","vrouw",1997,1100,"Facility Management","wat is de gemiddelde huur van een kamer??                                                                                                                                                                                                                 ","Selected",20
"81","Bij ouders",22,"nee","41-60 min.",9,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",NA,300,"belangrijk","neutraal","neutraal","neutraal","belangrijk","neutraal","onbelangrijk","past enigszins","past wel","past wel","past wel","past enigszins","vrouw",1998,51,"Facility Management","Over netto inkomen, dat kan ook minder zijn                                                                                                                                                                                                               ","Selected",19
"82","Bij ouders",24,"ja","10-20 min.",9,"Thuis is de sfeer goed en alles is max 20 min fietsen                                                                                                                                                                                                     ","nee, voorlopig niet van pan",20,325,"belangrijk","neutraal","neutraal","zeer onbelangrijk","onbelangrijk","neutraal","neutraal","past wel","past wel","past enigszins","past wel","past wel","vrouw",1995,500,"Human Resource Management","Prima                                                                                                                                                                                                                                                     ","Selected",22
"83","Bij ouders",25,"nee","61-90 min.",9,"Ik woon bij mijn ouders. Bij mijn vriendinnen dicht in de buurt. Hoef niet zelf te koken, zo af en toe wel, maar meestal niet. Hoef verder ook niets te betalen aan woonkosten.                                                                           ","weet ik  (nog)  niet",10,320,"neutraal","onbelangrijk","neutraal","onbelangrijk","onbelangrijk","belangrijk","belangrijk","past helemaal niet","past wel","past helemaal niet","past niet","past niet","vrouw",1997,210,"Facility Management","Je moest heel vaak klikken voordat een bolletje werd gekleurd. Hij deed het heel vaak niet. Ook moest je super vaak op een tekstvak klikken voor je het antwoord kon in typen. Als deze enquete niet verplicht was zou ik er mee zijn gestopt omdat het zo","Selected",20
"84","Bij ouders",25,"nee","41-60 min.",7,"Ik woon prima                                                                                                                                                                                                                                             ","nee, voorlopig niet van pan",15,350,"belangrijk","neutraal","neutraal","neutraal","zeer belangrijk","belangrijk","zeer belangrijk","past niet","past helemaal niet","past wel","past niet","past enigszins","vrouw",1996,750,"Facility Management","Onduidelijk of het over een huis of studentenkamer gaat. Voor de rest prima                                                                                                                                                                               ","Selected",21
"85","Bij ouders",25,"nee","langer dan 90 min.",7,"                                                                                                                                                                                                                                                          ","ja, zeer korte termijn",18,450,"belangrijk","neutraal","belangrijk","neutraal","belangrijk","belangrijk","neutraal","past volledig","past enigszins","past volledig","past niet","past enigszins","vrouw",1996,1150,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected",21
"86","Bij ouders",25,"ja","61-90 min.",8,"                                                                                                                                                                                                                                                          ","weet ik  (nog)  niet",35,350,"zeer belangrijk","neutraal","zeer belangrijk","neutraal","zeer belangrijk","belangrijk","belangrijk","past wel","past enigszins","past volledig","past niet","past niet","vrouw",1996,967,"Bedrijfskunde /MER","                                                                                                                                                                                                                                                          ","Selected",21
"87","Bij ouders",28,"nee","61-90 min.",9,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",15,350,"belangrijk","onbelangrijk","neutraal","neutraal","belangrijk","neutraal","neutraal","past niet","past enigszins","past helemaal niet","past wel","past wel","vrouw",1998,250,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",19
"88","Bij ouders",30,"ja","10-20 min.",7,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar",30,600,"belangrijk","neutraal","neutraal","belangrijk","belangrijk","belangrijk","neutraal","past enigszins","past niet","past wel","past niet","past helemaal niet","vrouw",1996,200,"Bedrijfskunde /MER","Nee                                                                                                                                                                                                                                                       ","Selected",21
"89","Bij ouders",40,"nee","41-60 min.",7,"Het reizen is niet zo fijn maar verder kost het me niets om thuis te wonen                                                                                                                                                                                ","nee, voorlopig niet van pan",50,350,"neutraal","neutraal","zeer belangrijk","neutraal","belangrijk","belangrijk","neutraal","past enigszins","past enigszins","past volledig","past niet","past enigszins","vrouw",1998,350,"Human Resource Management","Nee                                                                                                                                                                                                                                                       ","Selected",19
"90","Bij ouders",50,"nee","61-90 min.",10,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",30,800,"zeer belangrijk","neutraal","zeer belangrijk","zeer belangrijk","belangrijk","neutraal","neutraal","past wel","past volledig","past enigszins","past helemaal niet","past helemaal niet","vrouw",1997,250,"Bedrijfskunde /MER","Nee                                                                                                                                                                                                                                                       ","Selected",20
"91","Bij ouders",50,"nee","langer dan 90 min.",10,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",20,400,"zeer belangrijk","belangrijk","belangrijk","neutraal","belangrijk","neutraal","neutraal","past enigszins","past niet","past enigszins","past niet","past niet","vrouw",1996,500,"Facility Management","Ik woon nog thuis en heb meer woonoppervlakte dan alleen mijn kamer.                                                                                                                                                                                      ","Selected",21
"92","Bij ouders",55,"nee","41-60 min.",9,"Ik woon redelijk dicht bij het station, waardoor de reistijd meevalt.                                                                                                                                                                                     ","nee, voorlopig niet van pan",10,150,"belangrijk","belangrijk","neutraal","onbelangrijk","zeer onbelangrijk","onbelangrijk","zeer onbelangrijk","past enigszins","past wel","past niet","past niet","past volledig","vrouw",1998,190,"Logistiek","                                                                                                                                                                                                                                                          ","Selected",19
"93","Bij ouders",55,"nee","41-60 min.",10,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",40,700,"belangrijk","neutraal","belangrijk","belangrijk","belangrijk","belangrijk","neutraal","past wel","past wel","past niet","past enigszins","past wel","vrouw",1997,960,"Bedrijfskunde /MER","Het is een enquête gericht op uitwonenden en in het begin rare vragen.                                                                                                                                                                                   ","Selected",20
"94","Bij ouders",77,"ja","10-20 min.",6,"                                                                                                                                                                                                                                                          ","ja, zeer korte termijn",23,600,"zeer belangrijk","belangrijk","belangrijk","zeer belangrijk","zeer belangrijk","onbelangrijk","neutraal","past niet","past helemaal niet","past wel","past niet","past helemaal niet","vrouw",1993,1600,"Bedrijfskunde /MER","niet volledig. Niet alle vragen kunnen juist beantwoord worden                                                                                                                                                                                            ","Selected",24
"95","Bij ouders",80,"ja","41-60 min.",6,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar",NA,NA,"belangrijk","neutraal","neutraal","neutraal","zeer belangrijk","belangrijk","neutraal","past wel","past wel","past enigszins","past wel","past wel","vrouw",1996,900,"Bedrijfskunde /MER","                                                                                                                                                                                                                                                          ",NA,21
"96","Op kamers (gedeeld gebruik san. en/of keuken)",10,"ja","minder dan 10 min.",6,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar",15,400,"belangrijk","neutraal","belangrijk","onbelangrijk","belangrijk","neutraal","neutraal","past wel","past volledig","past niet","past niet","past volledig","vrouw",1998,650,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected",19
"97","Op kamers (gedeeld gebruik san. en/of keuken)",12,"ja","minder dan 10 min.",9,"Fijne, veilige wijk omringt door prettige mensen.                                                                                                                                                                                                         ","nee, voorlopig niet van pan",12,350,"belangrijk","neutraal","neutraal","onbelangrijk","belangrijk","onbelangrijk","onbelangrijk","past helemaal niet","past wel","past helemaal niet","past helemaal niet","past volledig","vrouw",1993,600,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected",24
"98","Op kamers (gedeeld gebruik san. en/of keuken)",12,"ja","minder dan 10 min.",9,"Het huis ligt dicht bij de HAN en niet ver verwijderd van het centrum. Verder is het een nette kamer, met leuke huisgenoten.                                                                                                                              ","nee, voorlopig niet van pan",12,380,"belangrijk","neutraal","belangrijk","onbelangrijk","belangrijk","neutraal","neutraal","past wel","past enigszins","past enigszins","past niet","past wel","vrouw",1996,900,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",21
"99","Op kamers (gedeeld gebruik san. en/of keuken)",12,"ja","minder dan 10 min.",8,"Mijn kamer zit midden in het centrum dus dat is fijn                                                                                                                                                                                                      ","nee, voorlopig niet van pan",15,400,"neutraal","onbelangrijk","neutraal","neutraal","belangrijk","zeer belangrijk","neutraal","past wel","past niet","past enigszins","past helemaal niet","past wel","vrouw",1997,600,"Human Resource Management","Nee                                                                                                                                                                                                                                                       ","Selected",20
"100","Op kamers (gedeeld gebruik san. en/of keuken)",13,"nee","21-40 min.",6,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",14,370,"belangrijk","onbelangrijk","neutraal","neutraal","zeer belangrijk","neutraal","neutraal","past wel","past enigszins","past wel","past niet","past wel","vrouw",1997,1400,"Facility Management","geen                                                                                                                                                                                                                                                      ","Selected",20
"101","Op kamers (gedeeld gebruik san. en/of keuken)",13,"ja","minder dan 10 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",12,375,"belangrijk","onbelangrijk","neutraal","onbelangrijk","zeer belangrijk","zeer belangrijk","zeer belangrijk","past wel","past enigszins","past niet","past niet","past enigszins","vrouw",1996,600,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",21
"102","Op kamers (gedeeld gebruik san. en/of keuken)",14,"ja","10-20 min.",7,"Genoeg ruimte, redelijk schoon. Enige nadeel is ver van stad en school en niet veel contact binnen huis.                                                                                                                                                  ","ja, over een  half jaar tot een jaar",13,450,"belangrijk","onbelangrijk","neutraal","onbelangrijk","belangrijk","onbelangrijk","onbelangrijk","past wel","past niet","past wel","past helemaal niet","past enigszins","vrouw",1997,NA,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",20
"103","Op kamers (gedeeld gebruik san. en/of keuken)",14,"ja","10-20 min.",7,"Ik heb gezellige huisgenoten en heb het naar mijn zin op kamers                                                                                                                                                                                           ","weet ik  (nog)  niet",24,350,"zeer belangrijk","belangrijk","belangrijk","neutraal","belangrijk","belangrijk","belangrijk","past wel","past niet","past enigszins","past niet","past wel","vrouw",1997,830,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected",20
"104","Op kamers (gedeeld gebruik san. en/of keuken)",14,"nee","41-60 min.",8,"                                                                                                                                                                                                                                                          ","ja, over meer dan 1 jaar",18,420,"zeer belangrijk","neutraal","belangrijk","onbelangrijk","zeer belangrijk","belangrijk","belangrijk","past wel","past niet","past wel","past helemaal niet","past enigszins","vrouw",1996,200,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",21
"105","Op kamers (gedeeld gebruik san. en/of keuken)",15,"ja","10-20 min.",8,"Het is redelijk duur, maar wel een gezellig huis                                                                                                                                                                                                          ","nee, voorlopig niet van pan",20,300,"belangrijk","neutraal","belangrijk","belangrijk","belangrijk","belangrijk","neutraal","past enigszins","past wel","past niet","past enigszins","past enigszins","vrouw",1994,800,"Facility Management","Nee                                                                                                                                                                                                                                                       ","Selected",23
"106","Op kamers (gedeeld gebruik san. en/of keuken)",16,"ja","minder dan 10 min.",9,"Schoon huis, 5 min lopen van HAN                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",15,350,"zeer belangrijk","neutraal","belangrijk","neutraal","belangrijk","neutraal","neutraal","past enigszins","past wel","past helemaal niet","past helemaal niet","past wel","vrouw",1994,800,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",23
"107","Op kamers (gedeeld gebruik san. en/of keuken)",17,"ja","minder dan 10 min.",10,"Ik woon midden in het centrum, op loopafstand van werk, stappen shoppen en boodschappen doen en school is 10 min fietsen.                                                                                                                                 ","nee, voorlopig niet van pan",15,400,"belangrijk","neutraal","onbelangrijk","onbelangrijk","belangrijk","zeer belangrijk","neutraal","past enigszins","past helemaal niet","past helemaal niet","past helemaal niet","past volledig","vrouw",1995,950,"Facility Management","nee                                                                                                                                                                                                                                                       ","Selected",22
"108","Op kamers (gedeeld gebruik san. en/of keuken)",18,"ja","10-20 min.",5,"Het huis is slecht onderhouden. Ik zou graag mijn eigen plek willen waarbij ik mijn keuken, wc en badkamer niet hoef te delen met huisgenoten, maar dat is onmogelijk te krijgen voor een betaalbare prijs in Nijmegen.                                   ","ja, over een  half jaar tot een jaar",20,550,"belangrijk","neutraal","belangrijk","onbelangrijk","belangrijk","neutraal","onbelangrijk","past wel","past helemaal niet","past volledig","past helemaal niet","past enigszins","vrouw",1993,700,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected",24
"109","Op kamers (gedeeld gebruik san. en/of keuken)",18,"ja","21-40 min.",9,"Ik heb een eigen douche en wc en een mooie kamer.                                                                                                                                                                                                         ","weet ik  (nog)  niet",18,350,"zeer belangrijk","neutraal","onbelangrijk","neutraal","belangrijk","onbelangrijk","onbelangrijk","past wel","past enigszins","past wel","past wel","past niet","vrouw",1997,1000,"Logistiek","NVT                                                                                                                                                                                                                                                       ","Selected",20
"110","Op kamers (gedeeld gebruik san. en/of keuken)",18,"ja","10-20 min.",7,"Ik ben blij met mijn huis en de grootte van mijn kamer. Alleen zit mijn kamer in de kelder waardoor ik te weinig licht heb.                                                                                                                               ","nee, voorlopig niet van pan",30,400,"belangrijk","neutraal","zeer belangrijk","onbelangrijk","belangrijk","zeer belangrijk","onbelangrijk","past wel","past niet","past wel","past helemaal niet","past enigszins","vrouw",1995,500,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected",22
"111","Op kamers (gedeeld gebruik san. en/of keuken)",19,"nee","41-60 min.",9,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",19,300,"zeer belangrijk","neutraal","belangrijk","onbelangrijk","belangrijk","zeer belangrijk","onbelangrijk","past volledig","past enigszins","past niet","past wel","past volledig","vrouw",1994,900,"Human Resource Management","zijn veel dubbele vragen                                                                                                                                                                                                                                  ","Selected",23
"112","Op kamers (gedeeld gebruik san. en/of keuken)",19,"ja","10-20 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",25,450,"belangrijk","neutraal","belangrijk","belangrijk","zeer belangrijk","belangrijk","belangrijk","past wel","past niet","past enigszins","past niet","past niet","vrouw",1994,750,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",23
"113","Op kamers (gedeeld gebruik san. en/of keuken)",20,"nee","41-60 min.",7,"Ben toe aan een zelfstandige woning                                                                                                                                                                                                                       ","ja, binnen half jaar",50,400,"belangrijk","belangrijk","neutraal","belangrijk","zeer belangrijk","neutraal","neutraal","past niet","past helemaal niet","past wel","past enigszins","past niet","vrouw",1994,1100,"Human Resource Management","-                                                                                                                                                                                                                                                         ","Selected",23
"114","Op kamers (gedeeld gebruik san. en/of keuken)",20,"ja","minder dan 10 min.",7,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar",25,350,"zeer belangrijk","neutraal","neutraal","belangrijk","zeer belangrijk","zeer belangrijk","neutraal","past enigszins","past wel","past wel","past niet","past wel","vrouw",1995,800,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",22
"115","Op kamers (gedeeld gebruik san. en/of keuken)",20,"ja","minder dan 10 min.",9,"Het is dichtbij het centrum en ik heb een mooie, grote kamer                                                                                                                                                                                              ","nee, voorlopig niet van pan",20,400,"neutraal","onbelangrijk","neutraal","zeer onbelangrijk","zeer belangrijk","zeer belangrijk","neutraal","past enigszins","past niet","past niet","past helemaal niet","past enigszins","vrouw",1998,850,"Human Resource Management","                                                                                                                                                                                                                                                          ","Selected",19
"116","Op kamers (gedeeld gebruik san. en/of keuken)",20,"ja","10-20 min.",8,"                                                                                                                                                                                                                                                          ","ja, over een  half jaar tot een jaar",13,380,"belangrijk","neutraal","belangrijk","onbelangrijk","belangrijk","zeer belangrijk","onbelangrijk","past enigszins","past helemaal niet","past helemaal niet","past helemaal niet","past wel","vrouw",1996,1900,"Bedrijfskunde /MER","Nee                                                                                                                                                                                                                                                       ","Selected",21
"117","Op kamers (gedeeld gebruik san. en/of keuken)",20,"ja","minder dan 10 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",20,500,"neutraal","zeer onbelangrijk","zeer belangrijk","neutraal","zeer belangrijk","belangrijk","belangrijk","past volledig","past enigszins","past volledig","past niet","past niet","vrouw",1996,1300,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",21
"118","Op kamers (gedeeld gebruik san. en/of keuken)",21,"ja","minder dan 10 min.",9,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",15,400,"neutraal","neutraal","belangrijk","onbelangrijk","zeer belangrijk","belangrijk","belangrijk","past enigszins","past enigszins","past wel","past niet","past wel","vrouw",1997,440,"Logistiek","                                                                                                                                                                                                                                                          ","Selected",20
"119","Op kamers (gedeeld gebruik san. en/of keuken)",22,"ja","minder dan 10 min.",8,"                                                                                                                                                                                                                                                          ","nee, voorlopig niet van pan",16,400,"belangrijk","neutraal","onbelangrijk","onbelangrijk","belangrijk","neutraal","neutraal","past wel","past wel","past enigszins","past helemaal niet","past wel","vrouw",1997,780,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",20
"120","Op kamers (gedeeld gebruik san. en/of keuken)",23,"ja","10-20 min.",9,"                                                                                                                                                                                                                                                          ","ja, binnen half jaar",16,450,"belangrijk","neutraal","belangrijk","neutraal","belangrijk","belangrijk","neutraal","past wel","past enigszins","past wel","past wel","past enigszins","vrouw",1997,500,"Facility Management","                                                                                                                                                                                                                                                          ","Selected",20
